station_id,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,YEAR,MONTH,DAY,DAY OF WEEK,DAY OF YEAR,HOUR,MIN
82569809,4,4,17,17,1,1,1,1734713461,17104,24,12,20,5,355,18,4
266052390,7,7,21,21,1,1,1,1734713167,19030,24,12,20,5,355,18,4
37952191,11,11,18,18,1,1,1,1734713481,21004,24,12,20,5,355,18,4
34300292,13,13,11,11,1,1,1,1734713299,22002,24,12,20,5,355,18,4
82554786,2,2,26,26,1,1,1,1734713458,35008,24,12,20,5,355,18,4
268976295,5,5,30,30,1,1,1,1734713502,13022,24,12,20,5,355,18,4
27415444,4,4,25,25,1,1,1,1734713497,20045,24,12,20,5,355,18,4
76488849,10,10,25,25,1,1,1,1734713407,13019,24,12,20,5,355,18,4
460558111,13,13,6,6,1,1,1,1734713253,11044,24,12,20,5,355,18,4
66491368,4,4,43,43,1,1,1,1734713487,5030,24,12,20,5,355,18,4
15401095,18,18,28,28,1,1,1,1734713446,16041,24,12,20,5,355,18,4
1055541632,28,28,12,12,1,1,1,1734713478,21952,24,12,20,5,355,18,4
54000561,15,15,15,15,1,1,1,1734713498,9015,24,12,20,5,355,18,4
15383032,39,39,17,17,1,1,1,1734713494,8029,24,12,20,5,355,18,4
1036226943,0,0,0,0,1,0,0,1726937739,23302,24,12,20,5,355,18,4
84983562,7,7,42,42,1,1,1,1734713402,11110,24,12,20,5,355,18,4
129081441,2,2,19,19,1,1,1,1734713458,16031,24,12,20,5,355,18,4
1056986761,32,32,23,23,1,1,1,1734713392,12153,24,12,20,5,355,18,4
82566934,8,8,45,45,1,1,1,1734713500,17005,24,12,20,5,355,18,4
82590367,41,41,15,15,1,1,1,1734713497,21017,24,12,20,5,355,18,4
43219958,5,5,33,33,1,1,1,1734712955,14127,24,12,20,5,355,18,4
35106544,1,1,54,54,1,1,1,1734713469,14016,24,12,20,5,355,18,4
267976590,61,61,0,0,1,1,1,1734713473,12033,24,12,20,5,355,18,4
1056965116,8,8,41,41,1,1,1,1734713326,12120,24,12,20,5,355,18,4
54000630,3,3,21,21,1,1,1,1734713431,22012,24,12,20,5,355,18,4
1599921040,2,2,26,26,1,1,1,1734713380,18142,24,12,20,5,355,18,4
129096696,2,2,11,11,1,1,1,1734713277,18014,24,12,20,5,355,18,4
82573931,2,2,34,34,1,1,1,1734713443,18035,24,12,20,5,355,18,4
82436057,5,5,16,16,1,1,1,1734713464,13110,24,12,20,5,355,18,4
11851037297,2,2,31,31,1,1,1,1734712995,23105,24,12,20,5,355,18,4
82448637,36,36,5,5,1,1,1,1734713463,15009,24,12,20,5,355,18,4
271540743,18,18,6,6,1,1,1,1734713502,23005,24,12,20,5,355,18,4
11851327865,11,11,17,17,1,1,1,1734713474,21120,24,12,20,5,355,18,4
13372702,2,2,29,29,1,1,1,1734713339,20117,24,12,20,5,355,18,4
1599931563,4,4,25,25,1,1,1,1734713446,48009,24,12,20,5,355,18,4
15411223,2,2,21,21,1,1,1,1734713498,14125,24,12,20,5,355,18,4
85152599,30,30,14,14,1,1,1,1734713259,21009,24,12,20,5,355,18,4
478593396,3,3,17,17,1,1,1,1734713487,31017,24,12,20,5,355,18,4
213675430,23,23,26,26,1,1,1,1734713413,13047,24,12,20,5,355,18,4
213693126,1,1,22,22,1,1,1,1734713467,18114,24,12,20,5,355,18,4
363735875,13,13,5,5,1,1,1,1734713399,44103,24,12,20,5,355,18,4
284711589,14,14,1,1,1,1,1,1734713344,4107,24,12,20,5,355,18,4
265266148,5,5,18,18,1,1,1,1734713433,22403,24,12,20,5,355,18,4
269953055,4,4,25,25,1,1,1,1734713448,42011,24,12,20,5,355,18,4
66491406,7,7,40,40,1,1,1,1734713497,20047,24,12,20,5,355,18,4
30550,5,5,18,18,1,1,1,1734713498,9013,24,12,20,5,355,18,4
357491025,1,1,21,21,1,1,1,1734713211,21951,24,12,20,5,355,18,4
