station_id,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,YEAR,MONTH,DAY,DAY OF WEEK,DAY OF YEAR,HOUR,MIN
2515976231,3,3,17,17,1,1,1,1734273332,92004,24,12,15,7,350,15,56
129103849,1,1,19,19,1,1,1,1734273227,18020,24,12,15,7,350,15,56
1057009034,3,3,23,23,1,1,1,1734273347,20136,24,12,15,7,350,15,56
82334007,26,26,20,20,1,1,1,1734273452,5026,24,12,15,7,350,15,56
214146056,8,8,19,19,1,1,1,1734273446,43006,24,12,15,7,350,15,56
15308782,28,28,5,5,1,1,1,1734273450,5002,24,12,15,7,350,15,56
85008390,70,70,1,1,1,1,1,1734273455,15028,24,12,15,7,350,15,56
216039437,3,3,23,23,1,1,1,1734273437,8102,24,12,15,7,350,15,56
43155320,3,3,45,45,1,1,1,1734273308,14018,24,12,15,7,350,15,56
221047138,2,2,16,16,1,1,1,1734273110,31702,24,12,15,7,350,15,56
210567545,14,14,3,3,1,1,1,1734273365,7004,24,12,15,7,350,15,56
129130397,1,1,20,20,1,1,1,1734273186,21013,24,12,15,7,350,15,56
653129412,2,2,29,29,1,1,1,1734273307,42503,24,12,15,7,350,15,56
419381597,5,5,45,45,1,1,1,1734273379,21111,24,12,15,7,350,15,56
54000466,15,15,14,14,1,1,1,1734273368,2010,24,12,15,7,350,15,56
426772876,15,15,17,17,1,1,1,1734273181,11114,24,12,15,7,350,15,56
653046029,41,41,2,2,1,1,1,1734273430,5116,24,12,15,7,350,15,56
54000548,23,23,3,3,1,1,1,1734273235,7006,24,12,15,7,350,15,56
27414601,14,14,26,26,1,1,1,1734273407,7014,24,12,15,7,350,15,56
215495494,2,2,43,43,1,1,1,1734273289,8012,24,12,15,7,350,15,56
74620630,2,2,24,24,1,1,1,1734273101,20040,24,12,15,7,350,15,56
129091653,4,4,30,30,1,1,1,1734273441,17017,24,12,15,7,350,15,56
129036192,5,5,7,7,1,1,1,1734273200,10023,24,12,15,7,350,15,56
